T1        	/home/sam/phinet/data/test/preprocess/T1/1327_1a_MR_T1.nii.gzConfidences:  0.01, 99.97,  0.02
T1        	/home/sam/phinet/data/test/preprocess/T1/1082_1a_MR_T1.nii.gzConfidences:  0.03, 99.89,  0.09
T2        	/home/sam/phinet/data/test/preprocess/T2/1585_01.nii.gzConfidences:  0.58,  5.91, 93.51
T2        	/home/sam/phinet/data/test/preprocess/T2/2088_01_T2.nii.gzConfidences:  0.01,  0.28, 99.71
T1        	/home/sam/phinet/data/test/preprocess/T1/1484_30d_MR_T1.nii.gzConfidences:  0.02, 99.96,  0.01
T1        	/home/sam/phinet/data/test/preprocess/T1/1540_1a_MR_T1.nii.gzConfidences:  0.00, 99.97,  0.03
T2        	/home/sam/phinet/data/test/preprocess/T2/06-2310_2014-05-10_MR_T2_reg.nii.gzConfidences:  0.25,  3.06, 96.69
T2        	/home/sam/phinet/data/test/preprocess/T2/04-2759_1a_MR_0901_AXT2_reg.nii.gzConfidences:  0.00,  0.00, 99.99
T1        	/home/sam/phinet/data/test/preprocess/T1/1086_1a_MR_T1.nii.gzConfidences:  0.02, 99.81,  0.17
T1        	/home/sam/phinet/data/test/preprocess/T1/04-3508_1a_MR_0901_T13D.nii.gzConfidences:  1.02, 96.06,  2.92
T2        	/home/sam/phinet/data/test/preprocess/T2/2116_01_T2.nii.gzConfidences:  0.04,  1.83, 98.13
T1        	/home/sam/phinet/data/test/preprocess/T1/1525_03_0003_sag_bravo_t1_iso_N4_N4.nii.gzConfidences:  0.17, 98.15,  1.67
T1        	/home/sam/phinet/data/test/preprocess/T1/1401_1a_MR_T1.nii.gzConfidences:  0.03, 99.86,  0.12
T2        	/home/sam/phinet/data/test/preprocess/T2/1560_01.nii.gzConfidences:  0.02,  0.38, 99.60
T2        	/home/sam/phinet/data/test/preprocess/T2/2042_01_T2.nii.gzConfidences:  0.12,  0.49, 99.39
T1        	/home/sam/phinet/data/test/preprocess/T1/1099_90d_MR_T1.nii.gzConfidences:  0.01, 99.97,  0.02
T2        	/home/sam/phinet/data/test/preprocess/T2/1561_03.nii.gzConfidences:  0.25,  8.11, 91.64
T1        	/home/sam/phinet/data/test/preprocess/T1/1444_1a_MR_T1.nii.gzConfidences:  0.05, 99.87,  0.08
T1        	/home/sam/phinet/data/test/preprocess/T1/1157_2a_MR_T1.nii.gzConfidences:  0.02, 99.97,  0.01
T1        	/home/sam/phinet/data/test/preprocess/T1/1241_90d_MR_T1.nii.gzConfidences:  0.01, 99.98,  0.01
T1        	/home/sam/phinet/data/test/preprocess/T1/1542_02_0003_sag_bravo_t1_iso_N4_N4.nii.gzConfidences:  0.07, 99.32,  0.61
T1        	/home/sam/phinet/data/test/preprocess/T1/1312_1a_MR_T1.nii.gzConfidences:  0.01, 99.96,  0.04
T1        	/home/sam/phinet/data/test/preprocess/T1/1405_2a_MR_T1.nii.gzConfidences:  0.01, 99.96,  0.03
T1        	/home/sam/phinet/data/test/preprocess/T1/06-4083_2014-01-14_MR_MPRAGE.nii.gzConfidences:  0.06, 99.93,  0.01
T1        	/home/sam/phinet/data/test/preprocess/T1/1327_2a_MR_T1.nii.gzConfidences:  0.04, 99.92,  0.05
T1        	/home/sam/phinet/data/test/preprocess/T1/1480_2a_MR_T1.nii.gzConfidences:  0.01, 99.96,  0.03
T1        	/home/sam/phinet/data/test/preprocess/T1/1506_1a_MR_T1.nii.gzConfidences:  0.00, 99.96,  0.03
T1        	/home/sam/phinet/data/test/preprocess/T1/1279_2a_MR_T1.nii.gzConfidences:  0.01, 99.96,  0.03
T1        	/home/sam/phinet/data/test/preprocess/T1/1145_1a_MR_T1.nii.gzConfidences:  0.04, 99.57,  0.39
T1        	/home/sam/phinet/data/test/preprocess/T1/1099_1a_MR_T1.nii.gzConfidences:  0.00, 99.97,  0.03
T2        	/home/sam/phinet/data/test/preprocess/T2/06-3219_2013-11-27_MR_T2_reg.nii.gzConfidences:  2.80, 13.54, 83.66
T2        	/home/sam/phinet/data/test/preprocess/T2/1586_01.nii.gzConfidences:  0.26,  2.58, 97.16
T1        	/home/sam/phinet/data/test/preprocess/T1/1426_1a_MR_T1.nii.gzConfidences:  0.01, 99.97,  0.02
T1        	/home/sam/phinet/data/test/preprocess/T1/1023_1a_MR_T1.nii.gzConfidences:  0.03, 99.95,  0.03
T2        	/home/sam/phinet/data/test/preprocess/T2/1534_03.nii.gzConfidences:  0.86, 15.02, 84.12
T1        	/home/sam/phinet/data/test/preprocess/T1/1262_2a_MR_T1.nii.gzConfidences:  0.02, 99.94,  0.04
T1        	/home/sam/phinet/data/test/preprocess/T1/06-2187_2016-01-26_MR_MPRAGE.nii.gzConfidences:  1.00, 94.67,  4.34
T1        	/home/sam/phinet/data/test/preprocess/T1/06-2380_2013-09-11_MR_MPRAGE.nii.gzConfidences:  0.29, 99.67,  0.04
T2        	/home/sam/phinet/data/test/preprocess/T2/1595_01.nii.gzConfidences:  0.28,  6.45, 93.27
T1        	/home/sam/phinet/data/test/preprocess/T1/1294_1a_MR_T1.nii.gzConfidences:  0.22, 99.63,  0.14
T1        	/home/sam/phinet/data/test/preprocess/T1/06-2200_2014-05-10_MR_MPRAGE.nii.gzConfidences:  0.04, 98.60,  1.36
T2        	/home/sam/phinet/data/test/preprocess/T2/1525_03.nii.gzConfidences:  0.68,  2.33, 96.99
T1        	/home/sam/phinet/data/test/preprocess/T1/1127_90d_MR_T1.nii.gzConfidences:  0.00, 99.96,  0.04
T1        	/home/sam/phinet/data/test/preprocess/T1/1480_90d_MR_T1.nii.gzConfidences:  0.00, 99.98,  0.01
T2        	/home/sam/phinet/data/test/preprocess/T2/1516_02.nii.gzConfidences:  0.29, 15.71, 84.00
T1        	/home/sam/phinet/data/test/preprocess/T1/1524_2a_MR_T1.nii.gzConfidences:  0.01, 99.94,  0.05
T1        	/home/sam/phinet/data/test/preprocess/T1/1099_2a_MR_T1.nii.gzConfidences:  0.02, 99.94,  0.04
T1        	/home/sam/phinet/data/test/preprocess/T1/1473_2a_MR_T1.nii.gzConfidences:  0.06, 99.91,  0.03
T2        	/home/sam/phinet/data/test/preprocess/T2/1553_03.nii.gzConfidences:  0.07,  5.78, 94.15
T2        	/home/sam/phinet/data/test/preprocess/T2/0504_01_T2.nii.gzConfidences:  0.09,  1.61, 98.30
T1        	/home/sam/phinet/data/test/preprocess/T1/1540_2a_MR_T1.nii.gzConfidences:  0.13, 94.72,  5.15
T1        	/home/sam/phinet/data/test/preprocess/T1/06-2194_2013-12-11_MR_MPRAGE.nii.gzConfidences:  3.84, 88.83,  7.32
T1        	/home/sam/phinet/data/test/preprocess/T1/1525_01_0003_sag_bravo_t1_iso_N4_N4.nii.gzConfidences:  0.06, 98.82,  1.11
T2        	/home/sam/phinet/data/test/preprocess/T2/1576_01.nii.gzConfidences:  0.18,  6.26, 93.56
T2        	/home/sam/phinet/data/test/preprocess/T2/0505_01_T2.nii.gzConfidences:  0.51,  0.31, 99.18
T2        	/home/sam/phinet/data/test/preprocess/T2/1535_03.nii.gzConfidences:  0.11,  9.77, 90.12
T1        	/home/sam/phinet/data/test/preprocess/T1/1043_1a_MR_T1.nii.gzConfidences:  0.00, 99.98,  0.01
T1        	/home/sam/phinet/data/test/preprocess/T1/1127_1a_MR_T1.nii.gzConfidences:  0.00, 99.99,  0.01
T1        	/home/sam/phinet/data/test/preprocess/T1/1508_02_0003_sag_bravo_t1_iso_N4_N4.nii.gzConfidences:  0.02, 99.88,  0.10
T1        	/home/sam/phinet/data/test/preprocess/T1/1241_1a_MR_T1.nii.gzConfidences:  0.00, 99.98,  0.02
T2        	/home/sam/phinet/data/test/preprocess/T2/1542_03.nii.gzConfidences:  0.09,  0.22, 99.69
T2        	/home/sam/phinet/data/test/preprocess/T2/1542_02.nii.gzConfidences:  0.17, 11.83, 88.00
T2        	/home/sam/phinet/data/test/preprocess/T2/1518_02.nii.gzConfidences:  0.15,  2.11, 97.74
T2        	/home/sam/phinet/data/test/preprocess/T2/1581_01.nii.gzConfidences:  0.82,  2.68, 96.50
T1        	/home/sam/phinet/data/test/preprocess/T1/1524_30d_MR_T1.nii.gzConfidences:  0.01, 99.93,  0.06
T2        	/home/sam/phinet/data/test/preprocess/T2/1578_01.nii.gzConfidences:  0.42,  1.97, 97.62
T2        	/home/sam/phinet/data/test/preprocess/T2/1582_01.nii.gzConfidences:  0.11,  7.70, 92.19
T1        	/home/sam/phinet/data/test/preprocess/T1/1235_1a_MR_T1.nii.gzConfidences:  0.01, 99.95,  0.04
T1        	/home/sam/phinet/data/test/preprocess/T1/1520_03_0003_sag_bravo_t1_iso_N4_N4.nii.gzConfidences:  0.58, 98.60,  0.82
T1        	/home/sam/phinet/data/test/preprocess/T1/1477_2a_MR_T1.nii.gzConfidences:  0.06, 99.83,  0.11
T2        	/home/sam/phinet/data/test/preprocess/T2/1574_02.nii.gzConfidences:  0.09,  4.12, 95.78
T2        	/home/sam/phinet/data/test/preprocess/T2/2078_01_T2.nii.gzConfidences:  0.01,  0.66, 99.33
T1        	/home/sam/phinet/data/test/preprocess/T1/1508_01_0003_sag_bravo_t1_iso_N4_N4.nii.gzConfidences:  0.13, 98.88,  0.99
T1        	/home/sam/phinet/data/test/preprocess/T1/1175_1a_MR_T1.nii.gzConfidences:  0.04, 99.93,  0.02
T2        	/home/sam/phinet/data/test/preprocess/T2/1655_90d_MR_0004_3DT2SPACET2_SPC_SAG_P2_ISO_reg.nii.gzConfidences:  0.11,  0.00, 99.89
T2        	/home/sam/phinet/data/test/preprocess/T2/06-4014_2015-09-30_MR_T2_reg.nii.gzConfidences:  0.02,  0.00, 99.98
T2        	/home/sam/phinet/data/test/preprocess/T2/1579_01.nii.gzConfidences:  0.04,  1.26, 98.70
T2        	/home/sam/phinet/data/test/preprocess/T2/1153_90d_MR_0004_3DT2SPACET2_SPC_SAG_P2_ISO_reg.nii.gzConfidences:  5.41,  0.02, 94.57
T2        	/home/sam/phinet/data/test/preprocess/T2/1556_01.nii.gzConfidences:  0.47, 15.45, 84.08
T1        	/home/sam/phinet/data/test/preprocess/T1/1524_30a_MR_T1.nii.gzConfidences:  0.02, 99.95,  0.03
T1        	/home/sam/phinet/data/test/preprocess/T1/06-2189_2014-02-25_MR_MPRAGE.nii.gzConfidences:  0.19, 99.67,  0.14
T2        	/home/sam/phinet/data/test/preprocess/T2/2108_01_T2.nii.gzConfidences:  0.00,  0.27, 99.73
T1        	/home/sam/phinet/data/test/preprocess/T1/06-3973_2014-03-28_MR_MPRAGE.nii.gzConfidences:  0.21, 98.01,  1.78
T1        	/home/sam/phinet/data/test/preprocess/T1/1540_30d_MR_T1.nii.gzConfidences:  0.03, 99.93,  0.04
T1        	/home/sam/phinet/data/test/preprocess/T1/06-2233_2013-07-14_MR_MPRAGE.nii.gzConfidences:  0.20, 99.80,  0.00
T2        	/home/sam/phinet/data/test/preprocess/T2/1571_01.nii.gzConfidences:  0.13,  2.56, 97.31
T2        	/home/sam/phinet/data/test/preprocess/T2/1572_01.nii.gzConfidences:  0.11,  2.59, 97.30
T1        	/home/sam/phinet/data/test/preprocess/T1/1241_30d_MR_T1.nii.gzConfidences:  0.00, 99.99,  0.01
T2        	/home/sam/phinet/data/test/preprocess/T2/1593_01.nii.gzConfidences:  0.05,  2.89, 97.06
T2        	/home/sam/phinet/data/test/preprocess/T2/1523_01.nii.gzConfidences:  0.02,  0.47, 99.51
T1        	/home/sam/phinet/data/test/preprocess/T1/1495_2a_MR_T1.nii.gzConfidences:  0.01, 99.90,  0.08
T2        	/home/sam/phinet/data/test/preprocess/T2/06-3777_2014-05-11_T2_reg.nii.gzConfidences:  0.00,  0.08, 99.91
T1        	/home/sam/phinet/data/test/preprocess/T1/1126_2a_MR_T1.nii.gzConfidences:  0.01, 99.98,  0.01
T2        	/home/sam/phinet/data/test/preprocess/T2/1513_03.nii.gzConfidences:  0.13,  3.47, 96.40
T1        	/home/sam/phinet/data/test/preprocess/T1/1373_90d_MR_T1.nii.gzConfidences:  0.02, 99.95,  0.04
T1        	/home/sam/phinet/data/test/preprocess/T1/06-2311_2015-04-04_MR_MPRAGE.nii.gzConfidences:  0.13, 97.84,  2.02
T2        	/home/sam/phinet/data/test/preprocess/T2/1539_04.nii.gzConfidences:  0.21,  2.43, 97.37
T1        	/home/sam/phinet/data/test/preprocess/T1/1087_2a_MR_T1.nii.gzConfidences:  0.00, 99.81,  0.19
T2        	/home/sam/phinet/data/test/preprocess/T2/1504_02.nii.gzConfidences:  0.13, 12.87, 87.00
T1        	/home/sam/phinet/data/test/preprocess/T1/1182_1a_MR_T1.nii.gzConfidences:  0.01, 99.84,  0.15
T2        	/home/sam/phinet/data/test/preprocess/T2/2046_01_T2.nii.gzConfidences:  0.01,  1.64, 98.35
T2        	/home/sam/phinet/data/test/preprocess/T2/2114_01_T2.nii.gzConfidences:  0.04,  1.36, 98.60
T1        	/home/sam/phinet/data/test/preprocess/T1/1401_2a_MR_T1.nii.gzConfidences:  0.05, 99.74,  0.21
T2        	/home/sam/phinet/data/test/preprocess/T2/1087_90d_MR_0003_T2_reg.nii.gzConfidences:  0.00,  0.00, 100.00
T1        	/home/sam/phinet/data/test/preprocess/T1/06-3954_2015-11-08_MR_MPRAGE.nii.gzConfidences:  2.78, 96.11,  1.11
T1        	/home/sam/phinet/data/test/preprocess/T1/1262_1a_MR_T1.nii.gzConfidences:  0.01, 99.96,  0.03
T2        	/home/sam/phinet/data/test/preprocess/T2/1625_30d_MR_0004_3DT2SPACET2_SPC_SAG_P2_ISO_reg.nii.gzConfidences:  1.90,  0.25, 97.85
T1        	/home/sam/phinet/data/test/preprocess/T1/1312_2a_MR_T1.nii.gzConfidences:  0.01, 99.98,  0.01
T1        	/home/sam/phinet/data/test/preprocess/T1/06-2341_2015-06-20_MR_MPRAGE.nii.gzConfidences:  0.29, 84.29, 15.42
T1        	/home/sam/phinet/data/test/preprocess/T1/1259_30d_MR_T1.nii.gzConfidences:  0.01, 99.97,  0.02
T2        	/home/sam/phinet/data/test/preprocess/T2/2100_01_T2.nii.gzConfidences:  0.04,  1.82, 98.13
T2        	/home/sam/phinet/data/test/preprocess/T2/1509_02.nii.gzConfidences:  0.01,  1.27, 98.72
T1        	/home/sam/phinet/data/test/preprocess/T1/1087_30d_MR_T1.nii.gzConfidences:  0.01, 99.85,  0.14
T1        	/home/sam/phinet/data/test/preprocess/T1/1473_1a_MR_T1.nii.gzConfidences:  0.03, 99.85,  0.12
T1        	/home/sam/phinet/data/test/preprocess/T1/1023_2a_MR_T1.nii.gzConfidences:  0.05, 99.82,  0.13
T1        	/home/sam/phinet/data/test/preprocess/T1/1495_30d_MR_T1.nii.gzConfidences:  0.02, 99.77,  0.21
T1        	/home/sam/phinet/data/test/preprocess/T1/1232_1a_MR_T1.nii.gzConfidences:  0.01, 99.90,  0.09
T2        	/home/sam/phinet/data/test/preprocess/T2/1551_01.nii.gzConfidences:  0.05,  0.84, 99.11
T1        	/home/sam/phinet/data/test/preprocess/T1/1208_1a_MR_T1.nii.gzConfidences:  0.00, 99.99,  0.01
T2        	/home/sam/phinet/data/test/preprocess/T2/1597_01.nii.gzConfidences:  0.04,  0.73, 99.23
T1        	/home/sam/phinet/data/test/preprocess/T1/06-2229_2013-07-25_MR_MPRAGE.nii.gzConfidences:  0.03, 99.93,  0.04
T1        	/home/sam/phinet/data/test/preprocess/T1/1182_2a_MR_T1.nii.gzConfidences:  0.00, 99.95,  0.04
T2        	/home/sam/phinet/data/test/preprocess/T2/1583_01.nii.gzConfidences:  0.29,  3.81, 95.90
T2        	/home/sam/phinet/data/test/preprocess/T2/1554_02.nii.gzConfidences:  0.19, 10.84, 88.97
T1        	/home/sam/phinet/data/test/preprocess/T1/06-2243_2013-11-14_MR_MPRAGE.nii.gzConfidences:  0.64, 97.87,  1.49
T2        	/home/sam/phinet/data/test/preprocess/T2/1560_02.nii.gzConfidences:  0.16,  8.43, 91.41
T1        	/home/sam/phinet/data/test/preprocess/T1/1398_1a_MR_T1.nii.gzConfidences:  0.04, 99.92,  0.04
T2        	/home/sam/phinet/data/test/preprocess/T2/2040_01_T2.nii.gzConfidences:  0.03,  1.27, 98.71
T2        	/home/sam/phinet/data/test/preprocess/T2/1554_01.nii.gzConfidences:  0.44,  7.94, 91.62
T1        	/home/sam/phinet/data/test/preprocess/T1/1394_1a_MR_T1.nii.gzConfidences:  0.01, 99.95,  0.05
T1        	/home/sam/phinet/data/test/preprocess/T1/06-4077_2015-08-22_MR_MPRAGE.nii.gzConfidences:  1.88, 93.38,  4.74
T1        	/home/sam/phinet/data/test/preprocess/T1/1426_2a_MR_T1.nii.gzConfidences:  0.01, 99.97,  0.02
T1        	/home/sam/phinet/data/test/preprocess/T1/1480_30d_MR_T1.nii.gzConfidences:  0.01, 99.83,  0.16
T2        	/home/sam/phinet/data/test/preprocess/T2/1556_02.nii.gzConfidences:  0.09,  1.49, 98.42
T2        	/home/sam/phinet/data/test/preprocess/T2/1588_01.nii.gzConfidences:  0.29, 23.89, 75.82
T1        	/home/sam/phinet/data/test/preprocess/T1/1463_1a_MR_T1.nii.gzConfidences:  0.01, 99.92,  0.07
T1        	/home/sam/phinet/data/test/preprocess/T1/1345_90d_MR_T1.nii.gzConfidences:  0.02, 99.84,  0.15
T2        	/home/sam/phinet/data/test/preprocess/T2/2121_01_T2.nii.gzConfidences:  0.01,  0.02, 99.97
T1        	/home/sam/phinet/data/test/preprocess/T1/1269_2a_MR_T1.nii.gzConfidences:  0.03, 99.65,  0.32
T2        	/home/sam/phinet/data/test/preprocess/T2/2113_01_T2.nii.gzConfidences:  0.03,  3.52, 96.45
T1        	/home/sam/phinet/data/test/preprocess/T1/1165_1a_MR_T1.nii.gzConfidences:  0.04, 99.91,  0.05
T1        	/home/sam/phinet/data/test/preprocess/T1/1463_2a_MR_T1.nii.gzConfidences:  0.06, 99.76,  0.19
T1        	/home/sam/phinet/data/test/preprocess/T1/1234_1a_MR_T1.nii.gzConfidences:  0.01, 99.93,  0.07
T2        	/home/sam/phinet/data/test/preprocess/T2/06-4960_2013-12-02_MR_T2_reg.nii.gzConfidences:  0.03,  0.00, 99.97
T2        	/home/sam/phinet/data/test/preprocess/T2/1508_03.nii.gzConfidences:  0.19,  1.10, 98.70
T1        	/home/sam/phinet/data/test/preprocess/T1/1030_30d_MR_T1.nii.gzConfidences:  0.03, 99.78,  0.20
T2        	/home/sam/phinet/data/test/preprocess/T2/1551_02.nii.gzConfidences:  0.11,  2.27, 97.62
T1        	/home/sam/phinet/data/test/preprocess/T1/1509_03_0003_sag_bravo_t1_iso_N4_N4.nii.gzConfidences:  0.05, 99.61,  0.34
T2        	/home/sam/phinet/data/test/preprocess/T2/2024_01_T2.nii.gzConfidences:  0.00,  0.37, 99.63
T2        	/home/sam/phinet/data/test/preprocess/T2/1545_03.nii.gzConfidences:  0.29,  6.95, 92.76
T2        	/home/sam/phinet/data/test/preprocess/T2/06-4695_2015-08-22_MR_T2_reg.nii.gzConfidences:  0.35,  2.46, 97.19
T1        	/home/sam/phinet/data/test/preprocess/T1/06-3924_2015-05-10_MR_MPRAGE.nii.gzConfidences:  1.54, 98.29,  0.17
T1        	/home/sam/phinet/data/test/preprocess/T1/1238_1a_MR_T1.nii.gzConfidences:  0.01, 99.98,  0.01
T1        	/home/sam/phinet/data/test/preprocess/T1/1424_2a_MR_T1.nii.gzConfidences:  0.01, 99.96,  0.03
T1        	/home/sam/phinet/data/test/preprocess/T1/1135_1a_MR_T1.nii.gzConfidences:  0.00, 99.99,  0.01
T2        	/home/sam/phinet/data/test/preprocess/T2/1570_03.nii.gzConfidences:  0.71, 12.69, 86.60
T1        	/home/sam/phinet/data/test/preprocess/T1/1424_1a_MR_T1.nii.gzConfidences:  0.00, 99.97,  0.02
T1        	/home/sam/phinet/data/test/preprocess/T1/1241_2a_MR_T1.nii.gzConfidences:  0.00, 99.99,  0.00
T1        	/home/sam/phinet/data/test/preprocess/T1/1373_2a_MR_T1.nii.gzConfidences:  0.04, 99.94,  0.01
T1        	/home/sam/phinet/data/test/preprocess/T1/1457_1a_MR_T1.nii.gzConfidences:  0.01, 99.95,  0.04
T1        	/home/sam/phinet/data/test/preprocess/T1/1405_90d_MR_T1.nii.gzConfidences:  0.01, 99.95,  0.04
T2        	/home/sam/phinet/data/test/preprocess/T2/1520_03.nii.gzConfidences:  0.09,  1.93, 97.98
T2        	/home/sam/phinet/data/test/preprocess/T2/1580_01.nii.gzConfidences:  0.03,  1.70, 98.27
T1        	/home/sam/phinet/data/test/preprocess/T1/1251_2a_MR_T1.nii.gzConfidences:  0.01, 99.99,  0.00
T2        	/home/sam/phinet/data/test/preprocess/T2/04-3508_1a_MR_0601_AXT2W_reg.nii.gzConfidences:  0.06,  0.95, 99.00
T1        	/home/sam/phinet/data/test/preprocess/T1/1539_04_0003_sag_bravo_t1_iso_N4_N4.nii.gzConfidences:  0.03, 99.90,  0.07
T1        	/home/sam/phinet/data/test/preprocess/T1/1474_1a_MR_T1.nii.gzConfidences:  0.01, 99.94,  0.05
T1        	/home/sam/phinet/data/test/preprocess/T1/1307_1a_MR_T1.nii.gzConfidences:  0.00, 99.98,  0.01
T1        	/home/sam/phinet/data/test/preprocess/T1/1021_2a_MR_T1.nii.gzConfidences:  0.03, 99.45,  0.52
T1        	/home/sam/phinet/data/test/preprocess/T1/06-4103_2014-04-05_MR_MPRAGE.nii.gzConfidences:  0.41, 92.95,  6.63
T2        	/home/sam/phinet/data/test/preprocess/T2/1577_01.nii.gzConfidences:  0.17,  3.26, 96.57
